Employee Code,First Name,Middle Name,Last Name,Date of Birth,Gender,Email Address,Phone Number,Emergency Contact,Address,Highest Degree,Field of Study,Relation With Employee,Relation Contact,Date of Join,Job Title,Department,Employment Type,Monthly Salary,Annual CTC,Pay Grade,Bonus,Benefits,Total Benefit Cost,Budget Allocation,Final Payout,Employee Satisfaction,Engagement Score,Performance
E10033,Baiju,Riya,Deshmukh,1981-04-28,Female,baiju.deshmukh@gmail.com,9152028140,9367612276,"571
Choudhry Path, Purnia, West Bengal, 604012, India",PhD,Marketing,Brother,9816014771,2020-06-12,Content Strategist,Marketing,Part-time,49494.23,593930.76,D,49494.23,"Paid Time Off, Remote Work, Travel Allowance",13000,600000,656424.99,1.11,2.6,2.77
E10034,Kanav,Purab,Khosla,2006-01-07,Female,kanav.khosla@gmail.com,9883042004,9527099022,"89, Bhavsar Zila, Surat, Madhya Pradesh, 443515, India",PhD,Engineering,Father,9248985554,2024-01-20,QA Engineer,Engineering,Contract,47818.61,573823.3200000001,D,47818.61,"Remote Work, Health Insurance, Travel Allowance",20000,720000,641641.93,3.59,3.99,4.2
E10035,Raghav,Eva,Venkatesh,1993-05-14,Female,raghav.venkatesh@gmail.com,9052496457,9958725258,"762
Tak Path, Bhalswa Jahangir Pur, Tamil Nadu, 162041, India",PhD,Marketing,Mother,9468232758,2023-06-17,Content Strategist,Marketing,Contract,66533.45,798401.3999999999,C,66533.45,"Remote Work, Health Insurance, Travel Allowance",20000,900000,884934.8499999999,3.38,4.25,4.24
E10036,Tanya,Akarsh,Mandal,2006-01-31,Female,tanya.mandal@gmail.com,9336509608,9507825795,"H.No. 01
Kothari Nagar, Nandyal, Uttar Pradesh, 654023, India",Bachelor's,Marketing,Aunty,9070992811,2024-05-14,Marketing Manager,Marketing,Intern,21028.5,252342.0,D,21028.5,Education Assistance,7000,264000,280370.5,1.54,2.85,3.8
E10037,Oorja,Alia,Sandal,1982-03-24,Female,oorja.sandal@gmail.com,9444174544,9512220820,"22/14
Dasgupta Street, Jamnagar, West Bengal, 289120, India",Master's,Finance,Uncle,9242662119,2022-12-16,Finance Manager,Finance,Full-time,100976.27,1211715.24,A,100976.27,"Gym Membership, Travel Allowance, Remote Work, Health Insurance, Paid Time Off, Retirement Plan, Free Meals, Education Assistance",52000,1800000,1364691.51,3.93,1.93,2.79
E10038,Bhamini,Shlok,Chand,1980-09-27,Female,bhamini.chand@gmail.com,9012646737,9147610565,"240
Sem Road, Dhanbad, West Bengal, 412178, India",Bachelor's,Marketing,Brother,9978306698,2024-01-13,Brand Manager,Marketing,Contract,60443.43,725321.16,C,60443.43,"Travel Allowance, Health Insurance, Remote Work",20000,900000,805764.5900000001,2.08,2.57,3.52
E10039,Eva,Rania,Bahri,1986-04-21,Female,eva.bahri@gmail.com,9326945355,9012129534,"34
Ghosh Zila, Nandyal, Gujarat, 692271, India",Master's,Computer Science,Aunty,9265614921,2023-06-28,Software Engineer,Engineering,Contract,64854.17,778250.04,C,64854.17,Health Insurance,12000,900000,855104.2100000001,4.43,1.72,4.54
E10040,Samiha,Darshit,Ben,1983-08-28,Female,samiha.ben@gmail.com,9132883359,9068450078,"H.No. 124
Mann Marg, Raipur, Tamil Nadu, 788720, India",Bachelor's,Computer Science,Brother,9098431551,2024-03-16,System Architect,Engineering,Contract,77891.31,934695.72,C,77891.31,Travel Allowance,6000,1080000,1018587.03,4.38,4.02,2.57
E10041,Chirag,Urvi,Atwal,1988-07-10,Female,chirag.atwal@gmail.com,9654173722,9431008360,"21/416, Divan Zila, Hapur, Kerala, 734586, India",Master's,Finance,Sister,9998741563,2024-01-11,Financial Analyst,Finance,Contract,48640.48,583685.76,D,48640.48,"Remote Work, Travel Allowance",8000,720000,640326.24,4.6,4.71,3.46
E10042,Anya,Chirag,Dugar,2005-08-31,Female,anya.dugar@gmail.com,9300565769,9758182948,"83/867, Bhattacharyya Chowk, Sonipat, Rajasthan, 824438, India",Master's,Sales,Brother,9863643106,2023-11-18,Account Manager,Sales,Contract,60586.59,727039.08,C,60586.59,"Remote Work, Health Insurance",14000,900000,801625.6699999999,2.79,1.8,2.3
E10043,Aarna,Sana,Khalsa,2004-10-07,Female,aarna.khalsa@gmail.com,9085098152,9829784994,"745
Kant Marg, Hosur, Nagaland, 249079, India",PhD,Finance,Uncle,9461006630,2016-10-23,Financial Analyst,Finance,Part-time,33006.42,396077.04,D,33006.42,Remote Work,2000,480000,431083.45999999996,3.11,3.89,2.78
E10044,Riaan,Alia,Krishnamurthy,2000-07-30,Female,riaan.krishnamurthy@gmail.com,9489260228,9526913887,"544
Shroff Marg, Udaipur, Assam, 638172, India",Master's,Marketing,Sister,9646533784,2024-08-09,Brand Manager,Marketing,Intern,18884.98,226619.76,D,18884.98,"Education Assistance, Travel Allowance",13000,240000,258504.74000000002,4.47,4.61,2.12
E10045,Yuvaan,Charvi,Raju,1980-01-19,Female,yuvaan.raju@gmail.com,9293349688,9112397180,"31/709
Dass Circle, Tenali, Bihar, 055669, India",Master's,Computer Science,Sister,9776689978,2024-06-24,QA Engineer,Engineering,Intern,17164.18,205970.16,D,17164.18,"Travel Allowance, Education Assistance",13000,216000,236134.34,1.39,4.7,4.07
E10046,Farhan,Tara,Kanda,1980-05-20,Male,farhan.kanda@gmail.com,9831876290,9836467384,"H.No. 615, Kari, Vasai-Virar, Haryana, 692638, India",PhD,Sales,Uncle,9800667412,2024-05-14,Sales Manager,Sales,Full-time,139524.14,1674289.6800000002,A,139524.14,"Stock Options, Health Insurance, Gym Membership, Travel Allowance, Retirement Plan, Remote Work",48000,1800000,1861813.8200000003,4.83,3.2,4.89
E10047,Kartik,Anika,Sami,1969-10-26,Female,kartik.sami@gmail.com,9480842506,9740370155,"82, Gokhale Street, Lucknow, Maharashtra, 163364, India",Bachelor's,Marketing,Aunty,9166687502,2016-10-03,Brand Manager,Marketing,Full-time,82518.11,990217.3200000001,B,82518.11,"Retirement Plan, Travel Allowance, Gym Membership, Stock Options, Free Meals, Remote Work",38000,1200000,1110735.4300000002,3.13,1.74,4.21
E10048,Yashvi,Aarush,Thakur,1992-12-15,Female,yashvi.thakur@gmail.com,9252989923,9488566128,"94
Basu Zila, Etawah, Telangana, 964455, India",Master's,Business Administration,Sister,9178919177,2024-04-05,Recruiter,HR,Intern,19393.13,232717.56,D,19393.13,Travel Allowance,6000,240000,258110.69,1.42,1.87,4.49
E10049,Bhamini,Lavanya,Ramesh,1995-11-20,Female,bhamini.ramesh@gmail.com,9030058401,9624796756,"434
Boase Circle, Jalgaon, Tripura, 221870, India",Bachelor's,Engineering,Aunty,9328727727,2016-09-01,System Architect,Engineering,Part-time,58831.55,705978.6000000001,C,58831.55,"Paid Time Off, Travel Allowance, Remote Work",13000,720000,777810.1500000001,4.49,4.5,3.09
E10050,Zaina,Mannat,Shankar,1984-08-10,Female,zaina.shankar@gmail.com,9208689855,9489357438,"539, Balasubramanian Chowk, Jhansi, Telangana, 745760, India",PhD,Computer Science,Father,9580849277,2023-05-04,QA Engineer,Engineering,Part-time,36965.91,443590.92000000004,D,36965.91,Travel Allowance,6000,480000,486556.8300000001,2.98,4.01,3.04
E10051,Anahi,Saira,Krishna,1974-05-03,Female,anahi.krishna@gmail.com,9984832095,9500126755,"18/20, Kunda Circle, Bathinda, Tripura, 555404, India",PhD,Finance,Father,9078027466,2023-10-29,Accountant,Finance,Contract,32406.82,388881.83999999997,D,32406.82,"Health Insurance, Travel Allowance, Remote Work",20000,480000,441288.66,2.73,2.36,3.88
E10052,Rasha,Veer,Joshi,2005-12-15,Female,rasha.joshi@gmail.com,9283756286,9676084713,"81, Deshpande Street, Faridabad, Tripura, 332186, India",PhD,Marketing,Mother,9871706350,2024-07-27,SEO Specialist,Marketing,Intern,15065.77,180789.24,D,15065.77,Travel Allowance,6000,216000,201855.00999999998,3.52,1.85,2.39
E10053,Amira,Ela,Balan,1998-06-20,Female,amira.balan@gmail.com,9143419892,9490217230,"H.No. 105
Cherian, Belgaum, Punjab, 970695, India",Bachelor's,Sales,Aunty,9824221790,2018-01-31,Account Manager,Sales,Full-time,85997.44,1031969.28,B,85997.44,"Health Insurance, Paid Time Off, Stock Options, Gym Membership",30000,1200000,1147966.72,4.15,2.59,3.77
E10054,Vidur,Saira,Manne,1985-12-18,Female,vidur.manne@gmail.com,9518293991,9100608304,"72/765
Jani Zila, Hosur, Chhattisgarh, 253019, India",PhD,Business Administration,Brother,9780744421,2024-04-18,HR Coordinator,HR,Intern,17812.75,213753.0,D,17812.75,Travel Allowance,6000,216000,237565.75,4.85,1.82,4.51
E10055,Shamik,Trisha,Ganesan,1971-05-07,Female,shamik.ganesan@gmail.com,9636222133,9880367573,"323
Chopra Street, Satara, Jharkhand, 334240, India",Bachelor's,Sales,Brother,9709464347,2019-07-13,Sales Coordinator,Sales,Part-time,38688.84,464266.07999999996,D,38688.84,"Remote Work, Travel Allowance",8000,480000,510954.9199999999,3.51,1.33,3.46
E10056,Hansh,Bhamini,Golla,1970-11-14,Female,hansh.golla@gmail.com,9476069358,9686822229,"94, Garg Road, Rourkela, Tamil Nadu, 363649, India",Bachelor's,Sales,Brother,9547187176,2020-04-19,Sales Coordinator,Sales,Full-time,68118.6,817423.2000000001,C,68118.6,"Education Assistance, Free Meals, Stock Options",19000,960000,904541.8,3.08,1.75,3.27
E10057,Riya,Stuvan,Buch,1971-10-19,Female,riya.buch@gmail.com,9824964125,9820499843,"H.No. 407, Kale Zila, Aurangabad, Punjab, 926550, India",Master's,Engineering,Brother,9577835202,2021-01-03,Software Engineer,Engineering,Full-time,94838.84,1138066.08,B,94838.84,"Free Meals, Retirement Plan",17000,1200000,1249904.9200000002,4.13,3.7,4.27
E10058,Farhan,Eshani,Rastogi,1976-12-17,Male,farhan.rastogi@gmail.com,9381172386,9764632136,"H.No. 042
Tiwari Chowk, Sagar, Assam, 566482, India",PhD,Marketing,Father,9452744333,2024-05-27,SEO Specialist,Marketing,Intern,15705.64,188467.68,D,15705.64,Travel Allowance,6000,216000,210173.32,4.23,2.74,3.38
E10059,Himmat,Sahil,Dara,2005-09-18,Female,himmat.dara@gmail.com,9698371354,9351712491,"H.No. 91, Hari Ganj, Pudukkottai, Punjab, 652828, India",Bachelor's,Marketing,Father,9594128709,2020-05-24,Marketing Manager,Marketing,Part-time,53126.54,637518.48,C,53126.54,"Remote Work, Travel Allowance",8000,720000,698645.02,4.68,1.29,3.95
E10060,Purab,Mishti,Balasubramanian,1996-06-18,Female,purab.balasubramanian@gmail.com,9407057964,9408607111,"H.No. 00
Basak Path, Dehri, Punjab, 328440, India",PhD,Finance,Father,9210840375,2024-06-19,Accountant,Finance,Contract,32093.52,385122.24,D,32093.52,"Remote Work, Travel Allowance",8000,480000,425215.76,3.43,3.86,3.52
E10061,Prerak,Madhup,Verma,1973-12-04,Female,prerak.verma@gmail.com,9946554152,9659446138,"274, Char Street, Bhiwandi, Odisha, 419903, India",PhD,Engineering,Sister,9232145873,2017-04-10,System Architect,Engineering,Part-time,56832.58,681990.96,C,56832.58,Paid Time Off,5000,720000,743823.5399999999,1.73,2.16,4.62
E10062,Zeeshan,Myra,Korpal,1970-05-25,Male,zeeshan.korpal@gmail.com,9900673347,9092651174,"950
Tak, Nagercoil, Uttar Pradesh, 409210, India",Master's,Sales,Mother,9364635538,2023-08-15,Account Manager,Sales,Contract,65806.31,789675.72,C,65806.31,Travel Allowance,6000,900000,861482.03,4.01,4.29,3.42
E10063,Shray,Biju,Reddy,1976-01-21,Female,shray.reddy@gmail.com,9260059382,9716781779,"H.No. 20
Dass Path, Bikaner, Himachal Pradesh, 371116, India",Master's,Business Administration,Father,9262752467,2023-09-14,HR Coordinator,HR,Contract,44151.17,529814.04,D,44151.17,"Health Insurance, Remote Work, Travel Allowance",20000,720000,593965.2100000001,1.96,1.49,4.36
E10064,Biju,Misha,Goyal,1991-12-19,Female,biju.goyal@gmail.com,9604736778,9053792492,"04/112
Mahal, Madhyamgram, Uttarakhand, 870852, India",PhD,Engineering,Mother,9257902699,2023-10-30,Software Engineer,Engineering,Contract,64381.17,772574.04,C,64381.17,Travel Allowance,6000,900000,842955.2100000001,1.32,4.92,3.51
E10065,Umang,Arhaan,Singh,1985-07-22,Female,umang.singh@gmail.com,9089311614,9639158704,"H.No. 610
Contractor Nagar, Suryapet, Arunachal Pradesh, 227752, India",Master's,Computer Science,Uncle,9889391235,2024-02-09,DevOps Engineer,Engineering,Contract,71442.45,857309.3999999999,C,71442.45,"Travel Allowance, Health Insurance, Remote Work",20000,900000,948751.8499999999,4.83,1.21,4.82
E10066,Samar,Riya,Ratta,1981-12-04,Female,samar.ratta@gmail.com,9418805713,9513749029,"27, Bedi Nagar, Bardhaman, Rajasthan, 792167, India",Master's,Sales,Mother,9198076235,2019-06-16,Sales Executive,Sales,Full-time,52088.11,625057.3200000001,C,52088.11,Retirement Plan,15000,720000,692145.43,3.35,1.3,3.76
E10067,Urvi,Miraya,Dube,2002-08-11,Female,urvi.dube@gmail.com,9534242280,9531620137,"62/388, Raja Circle, Korba, Nagaland, 133475, India",Bachelor's,Finance,Mother,9372313016,2019-12-06,Controller,Finance,Part-time,43042.19,516506.28,D,43042.19,"Paid Time Off, Travel Allowance, Remote Work",13000,600000,572548.47,1.68,3.41,4.7
E10068,Anay,Krish,Ravi,2000-06-19,Female,anay.ravi@gmail.com,9983101396,9799902757,"H.No. 942
Bhagat Chowk, Karnal, Sikkim, 485265, India",Bachelor's,Computer Science,Sister,9541435288,2017-11-11,QA Engineer,Engineering,Full-time,78948.65,947383.7999999999,C,78948.65,"Education Assistance, Remote Work, Health Insurance, Retirement Plan, Travel Allowance, Stock Options, Free Meals, Gym Membership, Paid Time Off",62000,960000,1088332.45,2.34,4.17,4.17
E10069,Armaan,Kiara,Yohannan,1992-12-15,Female,armaan.yohannan@gmail.com,9749238839,9076434538,"38/139, Gola Path, Thoothukudi, Karnataka, 631307, India",PhD,Sales,Father,9556269213,2015-11-28,Sales Manager,Sales,Part-time,59726.46,716717.52,C,59726.46,"Remote Work, Paid Time Off, Travel Allowance",13000,720000,789443.98,3.6,2.64,3.33
E10070,Zara,Ela,Bhardwaj,1984-06-12,Female,zara.bhardwaj@gmail.com,9366494875,9979379306,"44
Chowdhury Chowk, Srinagar, Tamil Nadu, 599760, India",Bachelor's,Business Administration,Sister,9252061240,2023-05-16,Recruiter,HR,Contract,70771.31,849255.72,C,70771.31,Remote Work,2000,900000,922027.03,3.85,3.46,2.62
E10071,Nirvaan,Tarini,Arora,1991-04-02,Female,nirvaan.arora@gmail.com,9775725694,9761367571,"98/667, Basak Circle, Dindigul, Nagaland, 431133, India",Master's,Finance,Aunty,9781372031,2014-12-06,Accountant,Finance,Full-time,50201.73,602420.76,C,50201.73,"Retirement Plan, Free Meals",17000,720000,669622.49,2.65,3.78,4.93
E10072,Eshani,Rasha,Kapadia,2002-04-14,Female,eshani.kapadia@gmail.com,9880127165,9824224840,"59, Kohli Nagar, Erode, West Bengal, 561610, India",Bachelor's,Engineering,Uncle,9802177186,2023-12-16,System Architect,Engineering,Part-time,54457.98,653495.76,C,54457.98,Remote Work,2000,720000,709953.74,4.59,1.88,3.34
E10073,Veer,Ivan,Ganesh,1975-11-11,Male,veer.ganesh@gmail.com,9133479967,9164291536,"H.No. 978, Virk Marg, Junagadh, Sikkim, 914919, India",Master's,Marketing,Aunty,9085696324,2016-08-23,Content Strategist,Marketing,Part-time,48925.13,587101.5599999999,D,48925.13,"Travel Allowance, Paid Time Off",11000,600000,647026.69,4.63,2.32,3.42
